Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2017;7;26;00:00;212,7
Vantaa Helsinki-Vantaa airport;2017;7;27;00:00;262,6
Vantaa Helsinki-Vantaa airport;2017;7;28;00:00;206,1
Vantaa Helsinki-Vantaa airport;2017;7;29;00:00;179,3
Vantaa Helsinki-Vantaa airport;2017;7;30;00:00;265,2
Vantaa Helsinki-Vantaa airport;2017;7;31;00:00;134,2
Vantaa Helsinki-Vantaa airport;2017;8;1;00:00;248,7
Vantaa Helsinki-Vantaa airport;2017;8;2;00:00;122,9
Vantaa Helsinki-Vantaa airport;2017;8;3;00:00;258,9
Vantaa Helsinki-Vantaa airport;2017;8;4;00:00;124,1
Vantaa Helsinki-Vantaa airport;2017;8;5;00:00;206,9
Vantaa Helsinki-Vantaa airport;2017;8;6;00:00;91,6
Vantaa Helsinki-Vantaa airport;2017;8;7;00:00;128,1
Vantaa Helsinki-Vantaa airport;2017;8;8;00:00;255
Vantaa Helsinki-Vantaa airport;2017;8;9;00:00;255
Vantaa Helsinki-Vantaa airport;2017;8;10;00:00;200,8
Vantaa Helsinki-Vantaa airport;2017;8;11;00:00;266,8
Vantaa Helsinki-Vantaa airport;2017;8;12;00:00;180,1
Vantaa Helsinki-Vantaa airport;2017;8;13;00:00;130,5
Vantaa Helsinki-Vantaa airport;2017;8;14;00:00;264,8
Vantaa Helsinki-Vantaa airport;2017;8;15;00:00;230,3
Vantaa Helsinki-Vantaa airport;2017;8;16;00:00;130,9
Vantaa Helsinki-Vantaa airport;2017;8;17;00:00;106,5
Vantaa Helsinki-Vantaa airport;2017;8;18;00:00;134,2
Vantaa Helsinki-Vantaa airport;2017;8;19;00:00;97,5
Vantaa Helsinki-Vantaa airport;2017;8;20;00:00;167,4
Vantaa Helsinki-Vantaa airport;2017;8;21;00:00;119,3
Vantaa Helsinki-Vantaa airport;2017;8;22;00:00;126,2
Vantaa Helsinki-Vantaa airport;2017;8;23;00:00;117,5
Vantaa Helsinki-Vantaa airport;2017;8;24;00:00;162,1
Vantaa Helsinki-Vantaa airport;2017;8;25;00:00;67,5
Vantaa Helsinki-Vantaa airport;2017;8;26;00:00;138,7
Vantaa Helsinki-Vantaa airport;2017;8;27;00:00;117,8
Vantaa Helsinki-Vantaa airport;2017;8;28;00:00;174,2
Vantaa Helsinki-Vantaa airport;2017;8;29;00:00;109,8
Vantaa Helsinki-Vantaa airport;2017;8;30;00:00;65,3
Vantaa Helsinki-Vantaa airport;2017;8;31;00:00;42
Vantaa Helsinki-Vantaa airport;2017;9;1;00:00;113,4
Vantaa Helsinki-Vantaa airport;2017;9;2;00:00;70,6
Vantaa Helsinki-Vantaa airport;2017;9;3;00:00;121,8
Vantaa Helsinki-Vantaa airport;2017;9;4;00:00;168,2
Vantaa Helsinki-Vantaa airport;2017;9;5;00:00;152,2
Vantaa Helsinki-Vantaa airport;2017;9;6;00:00;131,5
Vantaa Helsinki-Vantaa airport;2017;9;7;00:00;45
